0.000 ,0.000 ,1.000 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,1.000 ,0.000 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,0.000 ,1.000 
0.000 ,0.000 ,1.000 
0.000 ,0.000 ,1.000 
0.000 ,0.000 ,1.000 
0.000 ,0.126 ,0.874 
0.000 ,0.782 ,0.218 
0.000 ,0.000 ,1.000 
0.000 ,1.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,0.013 ,0.987 
0.000 ,0.091 ,0.909 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,0.000 ,1.000 
1.000 ,0.000 ,0.000 
0.000 ,0.060 ,0.940 
0.000 ,0.000 ,1.000 
0.000 ,0.956 ,0.044 
0.000 ,0.998 ,0.002 
0.000 ,0.000 ,1.000 
0.000 ,0.109 ,0.891 
1.000 ,0.000 ,0.000 
0.000 ,1.000 ,0.000 
0.000 ,0.996 ,0.004 
0.000 ,0.001 ,0.999 
0.000 ,1.000 ,0.000 
0.000 ,0.000 ,1.000 
0.000 ,1.000 ,0.000 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,0.000 ,1.000 
1.000 ,0.000 ,0.000 
0.000 ,0.474 ,0.526 
0.000 ,0.002 ,0.998 
0.000 ,0.031 ,0.969 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,1.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,0.000 ,1.000 
0.000 ,0.997 ,0.003 
0.000 ,0.000 ,1.000 
0.000 ,0.000 ,1.000 
0.000 ,0.999 ,0.001 
0.000 ,0.000 ,1.000 
0.000 ,0.000 ,1.000 
0.000 ,1.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,1.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,1.000 ,0.000 
0.000 ,0.323 ,0.677 
1.000 ,0.000 ,0.000 
0.000 ,0.856 ,0.144 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,0.000 ,1.000 
0.000 ,0.010 ,0.990 
0.000 ,0.000 ,1.000 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,0.088 ,0.912 
1.000 ,0.000 ,0.000 
0.000 ,0.018 ,0.982 
1.000 ,0.000 ,0.000 
0.000 ,0.000 ,1.000 
0.000 ,0.963 ,0.037 
1.000 ,0.000 ,0.000 
0.000 ,0.000 ,1.000 
1.000 ,0.000 ,0.000 
0.000 ,0.999 ,0.001 
1.000 ,0.000 ,0.000 
0.000 ,1.000 ,0.000 
0.000 ,1.000 ,0.000 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,1.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,0.989 ,0.011 
0.000 ,0.968 ,0.032 
1.000 ,0.000 ,0.000 
0.000 ,0.665 ,0.335 
0.000 ,0.999 ,0.001 
0.000 ,0.996 ,0.004 
0.000 ,0.702 ,0.298 
0.000 ,0.018 ,0.982 
1.000 ,0.000 ,0.000 
1.000 ,0.000 ,0.000 
0.000 ,0.393 ,0.607 
0.000 ,0.999 ,0.001 
0.000 ,0.001 ,0.999 
0.000 ,1.000 ,0.000 
0.000 ,0.568 ,0.432 
0.000 ,0.001 ,0.999 
0.000 ,0.904 ,0.096 
0.000 ,0.000 ,1.000 
1.000 ,0.000 ,0.000 
